id,name,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,diameter_min_meters,diameter_max_meters,diameter_avg_meters,close_approach_date,epoch_date_close_approach,relative_velocity_km_per_sec,relative_velocity_km_per_hour,relative_velocity_miles_per_hour,miss_distance_astronomical,miss_distance_lunar,miss_distance_kilometers,miss_distance_miles,orbiting_body
3404165,(2008 DL4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3404165,26.9,False,False,11.0803882126,24.7765012606,17.9284447366,2025-09-01,1756708560000,4.7394514746,17062.0253087011,10601.6790036204,0.1682483041,65.4485902949,25169587.924472267,15639656.7157486046,Earth
3689354,(2014 SN142),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3689354,28.2,False,False,6.0891262211,13.6157001539,9.8524131875,2025-09-01,1756735080000,22.4426069107,80793.3848785826,50201.8673985838,0.31293778,121.73279642,46814825.3305286,29089383.56775068,Earth
3840866,(2019 GJ4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3840866,26.02,False,False,16.617090174,37.1569432173,26.887016695649997,2025-09-01,1756701780000,11.0682516593,39845.7059736262,24758.572136779,0.2124538807,82.6445595923,31782648.025954109,19748821.7182963442,Earth
54193345,(2021 RZ3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54193345,27.33,False,False,9.089813582,20.3254410722,14.707627327099999,2025-09-01,1756695780000,14.8898196117,53603.350602174,33307.0374894453,0.4401055831,171.2010718259,65838857.806867997,40910369.2021604786,Earth
54300305,(2022 RA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54300305,27.89,False,False,7.023522477,15.7050737,11.3642980885,2025-09-01,1756730880000,7.538267299,27137.7622762383,16862.3501210326,0.1644312064,63.9637392896,24598558.238970368,15284835.3224643584,Earth
54317198,(2022 UY2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54317198,25.74,False,False,18.9040551929,42.2707524617,30.5874038273,2025-09-01,1756751280000,16.2500867544,58500.3123157874,36349.8190608847,0.3166082702,123.1606171078,47363922.846304474,29430576.9427067812,Earth
54356391,(2023 HO4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54356391,23.19,False,False,61.1723235067,136.7854737026,98.97889860465,2025-09-01,1756705440000,6.8278192942,24580.1494590453,15273.1489791496,0.1679049065,65.3150086285,25118216.374949155,15607735.915062139,Earth
54465556,(2024 NO5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54465556,20.7,True,False,192.5550781879,430.566244241,311.56066121444996,2025-09-01,1756744320000,10.1457643436,36524.7516371108,22695.0602602926,0.1026010722,39.9118170858,15348901.860836214,9537365.3628151932,Earth
54539494,(2025 OE13),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54539494,21.84,False,False,113.9081967216,254.706471064,184.3073338928,2025-09-01,1756749420000,16.5798132456,59687.3276842838,37087.3842491596,0.0685523776,26.6668748864,10255289.672395712,6372341.5130243456,Earth
54541032,(2025 PJ3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54541032,25.19,False,False,24.3531406274,54.4552779086,39.404209268,2025-09-01,1756690980000,11.6870328531,42073.3182713173,26142.7237891971,0.0201641036,7.8438363004,3016506.949019332,1874370.5024055016,Earth
54543397,(2025 QW19),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543397,28.35,False,False,5.6827032339,12.706910727,9.19480698045,2025-09-01,1756703520000,4.7393994471,17061.8380094497,10601.5626231494,0.0076397718,2.9718712302,1142893.588566066,710161.1453250708,Earth
54543833,(2025 RK),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543833,24.8,False,False,29.1443904535,65.1688382168,47.156614335149996,2025-09-01,1756708620000,12.1575524633,43767.1888677972,27195.2291051043,0.0264610353,10.2933427317,3958514.518874811,2459706.8639059518,Earth
54545154,(2025 RC3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545154,24.807,False,False,29.0505913065,64.9590969478,47.00484412715,2025-09-01,1756716600000,12.0589809412,43412.3313883279,26974.7344673752,0.0349683458,13.6026865162,5231190.049103446,3250510.7683257148,Earth
2523661,523661 (2012 LF11),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2523661,20.79,False,False,184.7374636151,413.0855266343,298.91149512469997,2025-09-07,1757209320000,25.9665380231,93479.5368830909,58084.5489038294,0.3976014378,154.6669593042,59480328.203817486,36959362.1174578668,Earth
3160742,(2003 SU84),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3160742,22.18,False,False,97.3991073414,217.7910249632,157.59506615229998,2025-09-07,1757247060000,14.459379665,52053.7667938391,32344.1863725385,0.1561197583,60.7305859787,23355183.306594821,14512237.9653016898,Earth
